DATE,OPEN,LOW,HIGH,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2003-04-15,31.185,31.185,31.1975,31.197,55,1132583105.0,31.1912
2003-04-16,31.195,31.185,31.195,31.1885,65,728974383.7,31.1901
2003-04-17,31.18,31.17,31.2,31.1975,63,1879373744.7,31.1872
2003-04-18,31.1975,31.18,31.1975,31.1801,51,1053497127.0,31.1824
2003-04-21,31.1065,31.1,31.11,31.1025,47,516571197.5,31.1019
2003-04-22,31.101,31.09,31.11,31.1025,57,612439397.8,31.1041
2003-04-23,31.1,31.1,31.104,31.1001,44,1071407064.7,31.1004
2003-04-24,31.1,31.1,31.1005,31.1,249,19479205658.5,31.1
2003-04-25,31.1,31.1,31.1005,31.1,301,22586157315.0,31.1
2003-04-28,31.1,31.1,31.101,31.1,113,12996411670.0,31.1
2003-04-29,31.1,31.1,31.1005,31.1,93,7073944510.0,31.1
2003-04-30,31.1,31.1,31.1075,31.1075,43,395271648.5,31.1042
2003-05-05,31.11,31.109,31.115,31.114,60,580844097.5,31.1111
2003-05-06,31.12,31.1175,31.1205,31.1205,31,351454571.5,31.1187
2003-05-07,31.1,31.1,31.105,31.1002,37,1651732254.2,31.1002
2003-05-08,31.1,31.1,31.102,31.1,74,4247400362.0,31.1001
2003-05-12,31.1,30.98,31.1,30.99,64,1241087374.2,31.0039
2003-05-13,30.98,30.98,30.9825,30.98,46,3768815130.0,30.98
2003-05-14,30.98,30.98,30.982,30.9801,50,2088714084.3,30.9802
2003-05-15,30.98,30.98,30.981,30.98,147,12055681126.0,30.98
2003-05-16,30.89,30.89,30.895,30.89,147,8905652780.5,30.89
2003-05-19,30.89,30.89,30.8905,30.89,222,21496412937.5,30.89
2003-05-20,30.89,30.89,30.891,30.89,295,21191745142.2,30.89
2003-05-21,30.89,30.89,30.893,30.89,125,13676711122.0,30.89
2003-05-22,30.89,30.7725,30.89,30.79,82,1906960385.5,30.8081
2003-05-26,30.72,30.72,30.7205,30.72,251,22409103481.9,30.72
2003-05-27,30.72,30.72,30.721,30.72,229,19188419389.0,30.72
2003-05-28,30.58,30.58,30.645,30.635,82,1358678791.5,30.6229
2003-05-29,30.6405,30.635,30.77,30.75,118,2751431350.0,30.7066
