DATE,OPEN,HIGH,LOW,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2005-06-20,34.79,34.83,34.7701,34.81,21,157224489.9,34.8073
2005-06-21,34.665,34.675,34.5775,34.585,29,164275431.2,34.6353
2005-06-22,34.78,34.815,34.72,34.72,23,113621579.7,34.7679
2005-06-23,34.68,34.68,34.6,34.62,25,190900784.3,34.6316
2005-06-24,34.52,34.62,34.52,34.56,24,73247680.0,34.5671
2005-06-27,34.74,34.78,34.73,34.74,21,114085930.0,34.7505
2005-06-28,34.67,34.7,34.63,34.63,18,206829280.0,34.6622
2005-06-29,34.53,34.575,34.5,34.575,30,197605053.5,34.5248
2005-06-30,34.62,34.62,34.57,34.58,32,215794912.0,34.5872
2005-07-01,34.5299,34.62,34.52,34.62,21,126252727.0,34.5519
2005-07-04,34.35,34.41,34.33,34.33,26,182695860.0,34.3777
2005-07-05,34.28,34.35,34.22,34.345,33,219366824.0,34.2832
2005-07-06,34.4,34.43,34.32,34.32,29,196556296.0,34.381
2005-07-07,34.39,34.55,34.39,34.5,27,196485571.5,34.4772
2005-07-08,34.37,34.3725,34.33,34.35,23,88470499.5,34.3575
2005-07-11,34.52,34.52,34.47,34.475,13,78823010.0,34.4958
2005-07-12,34.77,34.84,34.77,34.805,27,149480653.2,34.8113
2005-07-13,34.8726,34.8726,34.8,34.805,27,118064286.2,34.8478
2005-07-14,35.54,35.54,34.5781,34.645,46,286172754.3,34.6498
2005-07-15,34.73,34.74,34.65,34.65,36,279469061.5,34.7123
2005-07-18,34.6,34.625,34.595,34.62,30,52782282.3,34.6113
2005-07-19,34.505,34.505,34.45,34.45,34,92810541.0,34.4636
2005-07-20,34.585,34.66,34.585,34.63,19,47905589.5,34.6139
2005-07-21,34.78,34.8101,34.765,34.78,27,97648105.1,34.7874
2005-07-22,34.8,34.815,34.8,34.815,14,39362216.5,34.803
2005-07-25,34.55,34.63,34.53,34.63,20,62181181.5,34.5451
2005-07-26,34.57,34.595,34.485,34.49,41,141342156.8,34.558
2005-07-27,34.47,34.48,34.43,34.46,20,153876465.0,34.4628
2005-07-28,34.5701,34.615,34.56,34.585,22,115432782.5,34.5712
2005-07-29,34.7101,34.725,34.64,34.67,21,146043306.5,34.6896
2005-08-01,34.79,34.925,34.79,34.905,21,86803242.0,34.8607
2005-08-02,34.88,34.95,34.8551,34.93,32,229769860.0,34.9051
2005-08-03,34.94,35.07,34.94,35.07,10,46604950.0,35.0413
2005-08-04,35.14,35.14,35.07,35.075,25,64841920.0,35.0876
2005-08-05,35.185,35.19,35.14,35.14,20,97694463.0,35.1545
2005-08-08,35.1,35.175,35.1,35.175,25,146896354.5,35.1254
2005-08-09,35.19,35.19,35.125,35.15,20,77765110.0,35.156
2005-08-10,35.17,35.215,35.15,35.215,16,34178905.0,35.1635
2005-08-11,35.23,35.25,35.195,35.195,11,78869000.0,35.2094
2005-08-12,35.31,35.35,35.31,35.31,27,48041165.0,35.3244
2005-08-15,35.17,35.1899,35.1601,35.17,21,51529126.7,35.1735
2005-08-16,35.115,35.141,35.0601,35.0601,25,195921718.0,35.102
2005-08-17,35.04,35.04,34.99,35.005,37,217385714.0,35.0008
2005-08-18,34.96,34.99,34.92,34.92,11,53057015.0,34.9519
2005-08-19,34.7801,34.83,34.73,34.83,26,64745723.0,34.7535
2005-08-22,34.83,34.85,34.81,34.85,23,75434015.0,34.8264
2005-08-23,34.93,34.955,34.9,34.94,35,178818780.0,34.9347
2005-08-24,34.8,34.83,34.79,34.83,36,99959165.0,34.8091
2005-08-25,35.04,35.06,34.99,35.03,45,816208500.8,35.0199
2005-08-26,35.03,35.07,35.03,35.048,42,634338068.5,35.0502
2005-08-29,35.08,35.08,35.025,35.04,33,435940593.1,35.0435
2005-08-30,34.885,34.915,34.86,34.865,44,330450430.2,34.8773
2005-08-31,34.91,34.92,34.86,34.88,31,82488415.0,34.8788
2005-09-01,35.145,35.205,35.13,35.1845,19,109039445.0,35.1552
2005-09-02,35.47,35.55,35.47,35.5,24,56979557.5,35.5013
2005-09-05,35.4,35.4,35.305,35.335,35,180621135.0,35.3328
2005-09-06,35.21,35.2445,35.165,35.1945,51,278748357.0,35.1917
2005-09-07,35.25,35.32,35.22,35.22,31,76765538.2,35.2621
