DATE,OPEN,HIGH,LOW,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2020-05-25,104.65,104.73,104.25,104.71,120,3743.0,104.41
2020-05-26,104.7,104.74,104.51,104.72,181,5167.0,104.67
2020-05-27,104.71,104.88,104.51,104.6,178,3423.0,104.68
2020-05-28,104.87,104.88,104.58,104.83,123,4430.0,104.66
2020-05-29,104.88,104.92,104.7,104.82,131,1800.0,104.84
2020-06-01,104.56,104.89,104.54,104.67,158,2219.0,104.74
2020-06-02,104.85,104.85,104.65,104.8,116,2033.0,104.77
2020-06-03,104.85,104.85,104.61,104.76,70,1912.0,104.77
2020-06-04,104.72,104.74,104.31,104.53,138,2901.0,104.5
2020-06-05,104.32,104.63,103.91,104.43,169,9061.0,104.69
2020-06-08,104.69,104.7,104.08,104.38,164,4674.0,104.29
2020-06-09,104.54,104.55,104.19,104.34,122,2979.0,104.5
2020-06-10,104.26,104.44,104.26,104.41,86,2019.0,104.31
2020-06-11,104.48,104.48,104.01,104.34,131,3934.0,104.21
2020-06-15,104.33,104.33,103.97,104.27,114,17704.0,104.21
2020-06-16,104.17,104.27,104.15,104.25,94,3242.0,104.21
2020-06-17,104.27,104.27,103.86,104.24,138,4255.0,104.17
2020-06-18,104.24,104.34,104.1,104.34,63,4461.0,104.26
2020-06-19,104.34,104.59,104.15,104.56,95,4119.0,104.31
2020-06-22,104.6,104.7,104.23,104.45,95,2947.0,104.52
2020-06-23,104.66,104.66,104.0,104.25,97,7048.0,104.04
2020-06-25,104.45,104.45,103.92,104.28,118,2566.0,104.16
2020-06-26,104.4,104.41,103.99,104.23,107,2910.0,104.18
2020-06-29,104.4,104.45,104.0,104.1,96,1774.0,104.2
2020-06-30,104.39,104.39,103.91,104.29,117,5264.0,104.24
2020-07-02,104.29,104.38,103.95,104.24,100,2070.0,104.05
2020-07-03,104.3,104.3,104.0,104.23,97,1812.0,104.16
2020-07-06,103.94,104.22,103.76,104.17,85,1749.0,104.03
2020-07-07,103.81,104.29,103.62,104.1,76,1734.0,104.02
2020-07-08,104.27,104.27,104.03,104.12,35,195.0,104.14
2020-07-09,104.02,104.2,103.9,104.19,65,1847.0,104.16
2020-07-10,104.1,104.18,103.81,104.04,80,3314.0,103.97
2020-07-13,104.18,104.18,103.8,103.99,88,1524.0,103.91
2020-07-14,103.98,104.0,103.73,103.75,110,2865.0,103.83
2020-07-15,103.74,103.95,103.72,103.81,77,2534.0,103.75
2020-07-16,103.83,103.98,103.76,103.77,66,2219.0,103.82
2020-07-17,103.88,103.91,103.67,103.86,86,5171.0,103.78
2020-07-20,103.88,103.92,103.67,103.75,85,4032.0,103.72
2020-07-21,103.67,103.87,103.66,103.78,78,2269.0,103.82
2020-07-22,103.79,103.8,103.68,103.73,86,1722.0,103.72
2020-07-23,103.68,103.8,103.61,103.79,103,2062.0,103.68
2020-07-24,103.82,103.82,103.63,103.74,72,1333.0,103.69
2020-07-27,103.75,103.75,103.5,103.53,135,6913.0,103.54
2020-07-28,103.46,103.58,103.41,103.44,126,3140.0,103.44
2020-07-29,103.63,103.63,103.42,103.5,81,2138.0,103.47
2020-07-30,103.5,103.56,103.41,103.42,87,2881.0,103.49
2020-07-31,103.42,103.54,103.2,103.39,204,7459.0,103.33
2020-08-03,103.49,103.58,103.42,103.5,121,5213.0,103.5
2020-08-04,103.43,103.58,103.37,103.38,121,3212.0,103.41
2020-08-05,103.34,103.47,103.34,103.45,125,2857.0,103.37
2020-08-06,103.32,103.6,103.27,103.5,146,4678.0,103.38
2020-08-07,103.3,103.7,103.24,103.59,77,1596.0,103.56
2020-08-10,103.49,103.49,103.31,103.48,106,1354.0,103.4
2020-08-11,103.33,103.66,103.33,103.55,81,3008.0,103.47
2020-08-12,103.34,103.56,103.32,103.5,66,1613.0,103.42
2020-08-13,103.5,103.55,103.3,103.45,86,1708.0,103.41
2020-08-14,103.57,103.57,103.25,103.26,97,3337.0,103.3
2020-08-17,103.29,103.5,102.21,103.38,93,1802.0,103.26
2020-08-18,103.47,103.47,103.18,103.39,72,1690.0,103.32
2020-08-19,103.4,103.4,103.18,103.29,72,1995.0,103.32
2020-08-20,103.48,103.48,103.17,103.21,51,631.0,103.29
2020-08-21,103.39,103.39,103.15,103.17,87,1004.0,103.22
2020-08-24,103.29,103.29,103.0,103.0,91,2211.0,103.13
2020-08-25,103.22,103.23,102.87,103.1,103,1918.0,103.05
2020-08-26,103.1,103.23,103.0,103.11,80,1069.0,103.15
2020-08-27,103.19,103.22,103.09,103.17,78,3893.0,103.15
2020-08-28,103.06,103.22,103.06,103.22,57,1151.0,103.19
2020-08-31,103.17,103.17,103.05,103.15,94,1619.0,103.11
2020-09-01,103.22,103.22,102.34,103.07,114,1844.0,103.04
2020-09-02,103.06,103.2,102.82,103.19,94,3065.0,103.16
2020-09-03,102.62,104.87,102.62,104.65,308,41794.0,103.36
2020-09-04,104.84,105.14,104.45,105.12,347,25404.0,104.97
2020-09-07,105.0,105.49,105.0,105.4,199,23967.0,105.25
2020-09-08,105.47,105.8,105.01,105.67,268,16900.0,105.65
2020-09-09,105.95,105.95,105.5,105.75,171,18886.0,105.72
2020-09-10,105.74,105.91,105.52,105.79,105,7259.0,105.73
2020-09-11,105.81,105.83,105.58,105.75,104,9761.0,105.75
2020-09-14,105.89,105.89,105.26,105.69,136,2599.0,105.72
2020-09-15,105.6,105.7,105.6,105.68,99,2296.0,105.68
2020-09-16,105.79,105.79,105.5,105.65,107,7824.0,105.57
2020-09-17,105.8,105.8,105.5,105.65,101,5464.0,105.63
2020-09-18,105.64,105.64,105.51,105.61,122,21927.0,105.61
2020-09-21,105.64,105.64,105.29,105.55,148,3257.0,105.56
