DATE,OPEN,HIGH,LOW,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2020-05-25,110.0,113.09,110.0,112.5,102,2018.0,112.38
2020-05-26,112.6,112.6,111.85,112.18,89,6756.0,112.04
2020-05-27,111.92,112.87,111.9,112.22,202,7129.0,112.27
2020-05-28,111.96,112.98,111.96,112.9,107,12629.0,112.86
2020-05-29,112.55,112.97,112.5,112.87,104,2137.0,112.81
2020-06-01,112.07,112.99,112.07,112.85,100,3227.0,112.83
2020-06-02,112.28,112.97,112.28,112.91,42,455.0,112.83
2020-06-03,112.48,112.89,112.0,112.69,254,9864.0,112.33
2020-06-04,112.71,112.76,112.0,112.42,234,16475.0,112.12
2020-06-05,112.09,112.53,112.07,112.48,99,1038.0,111.88
2020-06-08,112.47,112.67,111.76,112.56,144,2367.0,112.29
2020-06-09,112.92,112.92,111.5,112.45,188,8770.0,112.07
2020-06-10,112.59,112.59,112.12,112.27,83,2434.0,112.23
2020-06-11,112.0,112.45,111.8,112.4,151,1193.0,112.18
2020-06-15,112.5,112.5,111.06,112.26,225,6295.0,111.86
2020-06-16,111.75,112.6,111.75,112.58,123,3217.0,112.44
2020-06-17,112.56,112.7,112.0,112.44,415,7007.0,112.15
2020-06-18,112.49,112.58,112.0,112.47,235,5228.0,112.13
2020-06-19,112.47,112.59,112.01,112.47,322,8236.0,112.23
2020-06-22,112.48,112.6,111.99,112.28,238,5202.0,112.16
2020-06-23,112.58,112.58,112.0,112.24,114,1997.0,112.14
2020-06-25,112.55,112.55,111.69,111.99,187,3478.0,111.87
2020-06-26,112.34,112.34,111.87,112.27,146,3050.0,112.11
2020-06-29,112.38,113.09,111.68,112.3,220,12933.0,112.28
2020-06-30,112.23,112.34,111.51,112.24,261,15238.0,111.63
2020-07-02,112.24,112.24,111.93,112.24,203,1987.0,112.15
2020-07-03,112.27,112.3,111.7,112.19,294,4860.0,112.06
2020-07-06,112.2,112.27,111.95,111.99,265,5039.0,112.06
2020-07-07,112.46,112.46,111.99,112.23,224,2667.0,112.09
2020-07-08,112.31,112.31,111.9,112.19,165,4858.0,112.03
2020-07-09,112.24,112.24,111.65,112.0,101,808.0,111.94
2020-07-10,112.22,112.48,111.55,112.0,435,8732.0,112.09
2020-07-13,112.47,112.47,111.72,112.0,237,2537.0,111.97
2020-07-14,112.43,112.43,111.75,111.98,154,1193.0,111.94
2020-07-15,112.3,112.3,111.88,112.0,133,1456.0,111.99
2020-07-16,112.3,112.3,111.82,112.0,159,1274.0,111.96
2020-07-17,112.3,112.3,111.84,112.22,233,4252.0,112.04
2020-07-20,112.36,112.36,111.75,111.98,214,2188.0,111.95
2020-07-21,112.0,112.0,111.9,112.0,105,1436.0,111.98
2020-07-22,112.0,112.24,111.85,112.0,168,3779.0,112.01
2020-07-23,112.33,112.33,111.9,112.0,78,1617.0,111.99
2020-07-24,112.36,112.36,111.87,111.99,162,2716.0,111.94
2020-07-27,112.37,112.37,111.85,112.0,103,918.0,111.98
2020-07-28,112.34,112.34,111.84,111.98,49,1695.0,111.89
2020-07-29,112.33,112.33,111.65,111.8,181,2745.0,111.72
2020-07-30,112.1,112.1,111.52,111.72,255,6907.0,111.59
2020-07-31,111.75,111.98,111.56,111.82,113,3545.0,111.8
2020-08-03,111.6,113.5,111.6,112.25,208,15725.0,112.44
2020-08-04,112.0,112.37,111.75,112.02,153,5195.0,111.92
2020-08-05,112.97,112.97,111.4,111.87,418,11464.0,111.79
2020-08-06,111.98,112.04,111.6,111.9,227,2445.0,111.75
2020-08-07,111.98,111.98,111.54,111.86,136,792.0,111.81
2020-08-10,112.11,112.11,111.4,111.76,204,6773.0,111.5
2020-08-11,111.99,111.99,111.39,111.65,256,3270.0,111.48
2020-08-12,111.96,111.96,111.5,111.89,165,2466.0,111.72
2020-08-13,111.97,111.97,111.1,111.67,261,1834.0,111.42
2020-08-14,111.86,111.86,111.27,111.54,179,2716.0,111.44
2020-08-17,111.87,111.87,111.14,111.54,137,4595.0,111.35
2020-08-18,111.85,111.85,111.1,111.39,136,4503.0,111.16
2020-08-19,111.67,111.67,110.8,111.22,264,4753.0,111.0
2020-08-20,111.34,111.44,111.01,111.44,119,799.0,111.28
2020-08-21,111.88,111.88,111.12,111.46,174,1168.0,111.34
2020-08-24,111.4,111.49,110.62,111.24,117,4549.0,110.8
2020-08-25,111.39,111.39,110.5,111.19,172,1375.0,110.82
2020-08-26,111.24,111.24,110.35,110.91,184,7760.0,110.48
2020-08-27,111.21,111.21,110.6,110.97,82,786.0,110.79
2020-08-28,111.08,111.12,110.62,111.0,80,1212.0,110.95
2020-08-31,111.0,111.1,110.68,110.88,73,475.0,110.96
2020-09-01,111.22,111.37,110.81,111.37,88,2259.0,111.26
2020-09-02,111.44,111.44,110.33,111.0,218,1646.0,110.84
2020-09-03,111.46,111.46,110.45,110.87,98,690.0,110.72
2020-09-04,110.95,110.95,110.3,110.95,139,5179.0,110.67
2020-09-07,110.63,110.67,110.2,110.58,133,5282.0,110.39
2020-09-08,110.92,110.92,110.12,110.58,225,10992.0,110.37
2020-09-09,110.96,110.96,109.72,110.44,289,3169.0,110.3
2020-09-10,110.86,110.86,110.21,110.75,204,5455.0,110.48
2020-09-11,110.87,111.4,110.24,111.0,171,6779.0,110.97
2020-09-14,111.38,111.38,110.7,110.71,83,3100.0,110.93
2020-09-15,111.19,111.19,110.69,110.72,48,393.0,110.79
2020-09-16,110.99,111.0,110.77,110.84,42,699.0,110.96
2020-09-17,111.29,111.29,110.8,110.89,57,1871.0,111.03
2020-09-18,111.29,111.29,110.74,110.91,68,2440.0,110.98
2020-09-21,111.32,111.32,110.63,110.63,81,3525.0,110.83
2020-09-22,111.25,111.28,110.4,110.67,105,2417.0,110.54
2020-09-23,110.51,110.7,110.51,110.55,80,1826.0,110.56
2020-09-24,110.59,110.99,110.52,110.52,43,437.0,110.6
2020-09-25,110.91,110.91,110.27,110.44,120,6368.0,110.42
2020-09-28,110.72,110.73,110.08,110.17,120,2070.0,110.19
2020-09-29,110.63,110.63,110.07,110.29,73,1253.0,110.26
2020-09-30,110.21,110.52,110.21,110.48,48,2678.0,110.3
2020-10-01,110.47,110.49,110.39,110.49,44,503.0,110.45
2020-10-02,110.25,110.25,110.0,110.2,121,6831.0,110.13
2020-10-05,110.17,110.63,110.06,110.38,101,1415.0,110.21
2020-10-06,110.38,110.49,110.13,110.15,62,1615.0,110.23
2020-10-07,110.11,110.11,109.93,110.0,80,2099.0,110.07
2020-10-08,110.06,110.06,109.71,109.85,90,3454.0,109.88
2020-10-09,110.03,110.03,109.77,109.87,96,2028.0,109.88
2020-10-12,109.96,109.97,109.75,109.9,113,4198.0,109.89
2020-10-13,109.96,109.97,109.8,109.96,70,4623.0,109.91
2020-10-14,109.97,109.97,109.9,109.95,59,2009.0,109.95
2020-10-15,109.97,110.22,109.8,110.15,75,1163.0,110.08
2020-10-16,110.16,110.2,110.01,110.2,47,1107.0,110.13
2020-10-19,109.95,110.15,109.91,109.96,75,1257.0,109.98
2020-10-20,110.15,110.15,109.9,109.91,72,1106.0,109.97
2020-10-21,110.15,110.15,109.7,109.87,120,3307.0,109.94
2020-10-22,110.13,110.14,109.88,109.92,60,1231.0,109.97
2020-10-23,109.89,110.1,109.55,109.89,76,1841.0,109.99
2020-10-26,110.36,110.36,109.78,110.06,65,1033.0,109.99
2020-10-27,110.34,110.34,109.73,110.04,63,3740.0,110.02
2020-10-28,109.9,110.13,109.87,109.95,66,2404.0,109.94
2020-10-29,109.94,109.94,108.55,109.77,191,4856.0,109.7
2020-10-30,109.87,109.91,109.51,109.6,139,5052.0,109.65
2020-11-02,109.86,110.0,109.07,109.3,244,6229.0,109.56
2020-11-03,109.35,109.79,109.34,109.77,80,1237.0,109.64
2020-11-05,109.25,110.0,109.25,109.71,108,1831.0,109.73
2020-11-06,109.5,109.5,109.35,109.5,93,2824.0,109.48
