DATE,OPEN,HIGH,LOW,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2020-05-25,106.5,106.5,106.31,106.49,87,2256.0,106.48
2020-05-26,106.92,106.93,106.51,106.76,140,10736.0,106.66
2020-05-27,106.06,106.97,106.06,106.96,94,600.0,106.83
2020-05-28,106.22,107.5,106.22,106.91,116,3770.0,106.88
2020-05-29,106.95,106.96,106.65,106.81,113,1609.0,106.8
2020-06-01,106.93,106.94,106.26,106.45,195,3343.0,106.68
2020-06-02,106.79,106.8,106.02,106.45,140,1791.0,106.42
2020-06-03,106.77,106.96,106.38,106.44,193,2823.0,106.48
2020-06-04,106.01,106.85,106.01,106.4,209,11401.0,106.4
2020-06-05,106.94,106.94,106.16,106.62,168,2576.0,106.46
2020-06-08,106.95,106.95,106.01,106.66,239,5780.0,106.4
2020-06-09,106.8,106.95,106.05,106.7,175,3255.0,106.92
2020-06-10,106.96,106.96,106.06,106.88,182,1420.0,106.9
2020-06-11,106.85,106.98,106.7,106.8,151,772.0,106.83
2020-06-15,106.6,107.28,105.86,106.69,237,7202.0,106.74
2020-06-16,106.95,106.96,106.08,106.92,130,3708.0,106.59
2020-06-17,106.16,106.95,106.16,106.75,118,720.0,106.64
2020-06-18,106.96,106.96,106.4,106.83,116,2387.0,106.62
2020-06-19,106.12,106.95,106.12,106.94,105,820.0,106.87
2020-06-22,106.06,107.29,106.06,106.84,108,566.0,106.88
2020-06-23,106.25,107.29,106.25,106.52,133,1878.0,106.63
2020-06-25,107.29,107.29,106.28,106.8,97,527.0,106.7
2020-06-26,107.29,107.29,106.31,106.92,92,1400.0,106.81
2020-06-29,106.07,106.92,106.05,106.7,155,1400.0,106.41
2020-06-30,106.9,106.96,106.17,106.85,148,30002.0,106.74
2020-07-02,106.95,106.96,106.62,106.8,114,9316.0,106.94
2020-07-03,106.94,106.95,106.31,106.89,129,26455.0,106.93
2020-07-06,107.09,107.14,106.51,106.7,165,1695.0,106.81
2020-07-07,105.6,107.18,105.6,106.82,73,1168.0,106.88
2020-07-08,106.91,106.92,106.7,106.8,101,5300.0,106.86
2020-07-09,106.96,106.96,106.51,106.7,94,2230.0,106.76
2020-07-10,106.33,106.99,106.3,106.85,126,42364.0,106.85
2020-07-13,106.97,107.0,106.77,107.0,115,184755.0,106.95
2020-07-14,107.2,107.2,106.88,107.0,127,3742.0,107.08
2020-07-15,107.18,107.19,106.77,107.01,110,2471.0,107.0
2020-07-16,107.28,107.28,106.01,106.83,195,4184.0,106.6
2020-07-17,106.69,106.99,106.66,106.75,105,2475.0,106.77
2020-07-20,107.28,107.28,106.45,106.88,132,1668.0,106.71
2020-07-21,106.51,107.0,106.51,106.99,118,922.0,106.94
2020-07-22,107.27,107.27,106.86,107.0,131,25033.0,107.0
2020-07-23,107.1,107.1,106.82,107.1,82,1633.0,107.09
2020-07-24,107.0,107.1,106.81,106.93,112,2714.0,107.07
2020-07-27,107.09,107.1,106.58,107.01,147,2879.0,107.07
2020-07-28,107.29,107.29,106.52,107.07,121,3556.0,107.06
2020-07-29,107.1,107.1,106.85,107.05,126,1603.0,107.04
2020-07-30,107.02,107.03,106.56,106.6,233,4096.0,106.87
2020-07-31,107.2,107.2,106.53,107.0,238,3935.0,106.77
2020-08-03,106.76,107.09,106.6,106.85,221,37282.0,106.92
2020-08-04,106.77,107.0,106.6,106.97,287,7055.0,106.89
2020-08-05,106.99,106.99,106.86,106.91,165,2073.0,106.92
2020-08-06,106.94,106.95,106.7,106.91,156,3368.0,106.89
2020-08-07,107.07,107.07,106.9,107.02,143,38550.0,107.03
2020-08-10,107.06,107.06,106.72,106.97,185,4569.0,106.97
2020-08-11,107.06,107.06,106.75,107.03,214,2181.0,106.97
2020-08-12,107.05,107.05,106.85,106.93,185,3751.0,107.0
