DATE,OPEN,HIGH,LOW,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2020-05-25,104.38,104.38,102.8,103.45,116,2795.0,103.13
2020-05-26,103.5,103.84,102.93,103.84,167,3974.0,103.52
2020-05-27,103.11,103.69,103.0,103.63,120,5057.0,103.54
2020-05-28,103.69,103.69,103.0,103.19,150,3224.0,103.25
2020-05-29,103.39,103.56,102.9,102.95,104,2965.0,102.96
2020-06-01,102.7,103.6,102.67,103.2,128,5894.0,103.13
2020-06-02,102.91,103.3,102.7,102.78,107,3048.0,102.78
2020-06-03,103.38,103.38,102.71,102.81,92,1246.0,102.88
2020-06-04,103.18,103.18,102.68,102.68,135,2774.0,102.8
2020-06-05,102.69,102.98,102.08,102.58,138,8870.0,102.56
2020-06-08,102.65,102.92,102.0,102.48,129,7344.0,102.37
2020-06-09,102.79,102.89,102.5,102.69,99,3922.0,102.64
2020-06-10,102.51,103.0,101.9,102.99,111,6231.0,102.82
2020-06-11,102.9,102.9,102.35,102.69,112,3838.0,102.51
2020-06-15,102.76,102.76,102.0,102.67,160,3032.0,102.3
2020-06-16,102.16,102.9,102.0,102.7,117,3598.0,102.68
2020-06-17,102.9,103.2,102.31,103.2,98,2318.0,103.07
2020-06-18,103.2,103.4,102.5,103.34,95,2188.0,103.2
2020-06-19,103.36,103.6,103.0,103.49,116,2223.0,103.36
2020-06-22,103.61,103.71,102.5,103.4,154,2972.0,103.24
2020-06-23,102.73,103.64,102.73,103.47,95,1798.0,103.19
2020-06-25,102.55,103.45,102.55,103.43,122,1822.0,103.0
2020-06-26,102.77,103.45,102.77,103.3,140,3904.0,103.27
2020-06-29,103.48,103.48,102.55,103.18,134,4105.0,102.9
2020-06-30,103.39,103.5,102.61,103.3,124,2151.0,103.32
2020-07-02,103.01,103.51,103.01,103.25,117,942.0,103.2
2020-07-03,103.26,103.45,103.0,103.17,164,2570.0,103.15
2020-07-06,103.17,103.2,102.9,103.18,190,2004.0,103.13
2020-07-07,103.01,103.51,102.58,102.89,248,5581.0,102.9
2020-07-08,103.17,103.17,102.5,103.0,191,5469.0,102.72
2020-07-09,103.28,103.4,102.9,103.04,111,4091.0,103.26
2020-07-10,103.39,103.4,103.0,103.4,93,1178.0,103.3
2020-07-13,102.94,103.4,102.94,103.31,138,5211.0,103.23
2020-07-14,103.35,103.36,102.6,103.3,167,3237.0,102.96
2020-07-15,103.36,103.68,103.01,103.6,83,2759.0,103.35
2020-07-16,103.4,103.97,102.72,103.71,108,2116.0,103.53
2020-07-17,103.72,104.0,103.55,103.93,114,2739.0,103.8
2020-07-20,103.92,103.93,103.61,103.89,120,3290.0,103.86
2020-07-21,103.89,104.19,103.82,104.17,143,3930.0,104.03
2020-07-22,103.91,104.3,103.32,103.83,209,4871.0,103.88
2020-07-23,104.4,104.4,103.81,104.2,161,1534.0,104.08
2020-07-24,104.0,104.9,104.0,104.49,145,4482.0,104.31
2020-07-27,104.52,104.88,104.11,104.8,193,3435.0,104.44
2020-07-28,104.18,104.79,104.14,104.7,253,10394.0,104.45
2020-07-29,104.89,104.89,104.31,104.57,277,4963.0,104.5
2020-07-30,104.89,104.98,103.7,104.68,266,1962.0,104.37
2020-07-31,104.55,104.98,104.55,104.95,115,2977.0,104.82
2020-08-03,104.6,105.24,104.56,105.24,184,40626.0,104.94
2020-08-04,104.99,105.0,104.83,105.0,113,1715.0,104.97
2020-08-05,104.92,105.0,104.78,104.81,129,4896.0,104.97
2020-08-06,104.64,105.0,104.64,104.8,128,2991.0,104.9
2020-08-07,105.12,105.15,104.8,105.15,155,7032.0,104.99
2020-08-10,105.49,105.49,104.71,105.35,152,2182.0,105.22
2020-08-11,105.33,105.43,105.01,105.22,107,2089.0,105.26
2020-08-12,105.21,105.48,105.1,105.48,101,3429.0,105.29
2020-08-13,105.03,105.5,105.03,105.5,120,3913.0,105.47
