DATE,OPEN,HIGH,LOW,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2020-05-25,96.89,98.2,96.89,98.0,456,9294.0,97.61
2020-05-26,98.0,98.96,97.67,97.98,480,19397.0,97.89
2020-05-27,97.98,97.99,97.55,97.55,476,19180.0,97.78
2020-05-28,97.53,97.98,97.51,97.9,320,25107.0,97.9
2020-05-29,97.7,98.84,97.7,97.98,432,13152.0,98.07
2020-06-01,98.47,98.83,97.89,98.7,530,18291.0,98.79
2020-06-02,98.95,99.89,98.23,98.95,596,59533.0,98.84
2020-06-03,98.95,98.95,98.5,98.78,365,16788.0,98.86
2020-06-04,98.78,98.96,98.61,98.7,287,19608.0,98.78
2020-06-05,98.7,98.75,98.5,98.63,221,3837.0,98.63
2020-06-08,98.63,98.97,98.1,98.3,317,19439.0,98.61
2020-06-09,98.31,98.87,98.02,98.04,305,12793.0,98.14
2020-06-10,98.01,98.24,97.8,98.24,267,6490.0,97.94
2020-06-11,98.01,98.01,97.7,97.75,235,8876.0,97.8
2020-06-15,97.76,98.0,97.5,97.68,279,10450.0,97.73
2020-06-16,97.87,97.87,97.5,97.74,330,19163.0,97.71
2020-06-17,97.71,97.76,97.65,97.7,217,6427.0,97.7
2020-06-18,97.72,98.26,97.21,98.0,320,19061.0,97.76
2020-06-19,97.76,98.23,97.75,98.2,250,15361.0,98.2
2020-06-22,98.22,98.44,97.85,98.09,396,64916.0,98.04
2020-06-23,98.97,99.3,97.96,98.2,243,10189.0,98.19
2020-06-25,98.45,98.45,97.92,98.1,216,3829.0,98.08
2020-06-26,98.1,98.1,97.85,97.95,317,26827.0,97.91
2020-06-29,98.33,98.33,97.63,97.86,339,5172.0,97.83
2020-06-30,97.99,97.99,97.69,97.82,312,5878.0,97.87
2020-07-02,97.82,97.82,97.6,97.75,477,36829.0,97.66
2020-07-03,97.8,98.08,97.7,98.07,394,17205.0,97.93
2020-07-06,98.29,98.29,97.79,97.98,454,12111.0,97.93
2020-07-07,98.37,98.37,97.99,98.13,372,6370.0,98.21
2020-07-08,98.28,98.55,98.12,98.45,319,9751.0,98.22
2020-07-09,98.92,98.92,98.03,98.13,359,9875.0,98.18
2020-07-10,98.37,98.43,98.04,98.15,324,7528.0,98.21
2020-07-13,98.05,99.04,98.0,98.6,434,36943.0,98.81
2020-07-14,99.0,99.04,98.12,98.9,389,59612.0,98.71
2020-07-15,99.2,99.25,98.66,99.05,315,19512.0,98.97
2020-07-16,99.24,99.4,98.77,98.99,306,5693.0,99.19
2020-07-17,99.3,99.45,98.88,99.38,237,3549.0,99.24
2020-07-20,99.63,99.94,99.13,99.92,327,15310.0,99.73
2020-07-21,99.83,100.13,99.82,100.13,319,10976.0,99.97
2020-07-22,99.83,100.74,99.83,100.63,251,30688.0,100.36
2020-07-23,100.41,100.78,100.1,100.41,240,5888.0,100.46
2020-07-24,100.36,100.5,100.21,100.43,194,5294.0,100.4
2020-07-27,100.49,100.62,100.05,100.25,288,9273.0,100.29
2020-07-28,100.2,100.55,100.1,100.49,172,2544.0,100.39
2020-07-29,100.22,100.99,100.2,100.36,523,9319.0,100.45
2020-07-30,100.15,100.58,100.0,100.3,465,16286.0,100.31
2020-07-31,100.3,100.57,100.3,100.55,215,6461.0,100.51
2020-08-03,100.6,100.6,100.26,100.42,197,3740.0,100.48
2020-08-04,100.6,100.6,100.3,100.4,216,4564.0,100.39
2020-08-05,100.54,100.55,100.38,100.46,189,4089.0,100.49
2020-08-06,100.54,100.55,100.39,100.55,170,5060.0,100.51
2020-08-07,100.54,100.55,100.38,100.43,180,3710.0,100.5
2020-08-10,100.45,100.55,100.4,100.45,220,3859.0,100.48
2020-08-11,100.55,100.55,100.4,100.45,224,4024.0,100.47
2020-08-12,100.45,100.65,100.4,100.65,182,13150.0,100.54
2020-08-13,100.96,100.96,100.49,100.78,260,10887.0,100.5
2020-08-14,100.51,100.94,100.46,100.88,273,8077.0,100.75
2020-08-17,100.8,101.0,100.45,100.85,295,7209.0,100.9
2020-08-18,100.93,100.94,100.71,100.89,242,4956.0,100.84
2020-08-19,100.89,100.94,100.6,100.84,377,8127.0,100.79
2020-08-20,101.22,101.22,100.61,101.0,199,5103.0,100.99
2020-08-21,101.0,101.22,100.69,101.04,412,8048.0,101.05
2020-08-24,101.23,101.23,100.59,100.76,251,7196.0,100.9
2020-08-25,101.19,101.19,100.51,100.8,219,6538.0,100.87
2020-08-26,101.1,101.1,100.55,100.79,220,3733.0,100.64
2020-08-27,100.98,101.0,100.46,100.52,262,4724.0,100.59
2020-08-28,100.79,101.1,100.47,100.8,243,5169.0,100.77
2020-08-31,100.54,100.98,100.54,100.97,220,2842.0,100.85
2020-09-01,101.05,101.21,100.81,101.01,222,5026.0,101.04
2020-09-02,101.01,103.0,100.8,100.9,439,11365.0,101.25
2020-09-03,100.88,101.43,100.8,100.91,228,4552.0,100.91
2020-09-04,100.93,101.44,100.51,100.9,262,6385.0,100.95
2020-09-07,100.62,101.7,100.62,101.0,215,3796.0,101.35
2020-09-08,101.52,101.52,100.72,101.1,186,2821.0,101.09
2020-09-09,101.1,101.35,101.01,101.15,236,3903.0,101.18
2020-09-10,101.15,101.35,101.03,101.34,182,3015.0,101.23
2020-09-11,101.34,101.34,101.01,101.2,98,2799.0,101.28
2020-09-14,101.23,101.43,101.04,101.25,149,11149.0,101.28
2020-09-15,101.1,101.28,101.1,101.23,243,2730.0,101.2
2020-09-16,101.06,101.24,101.03,101.18,171,2231.0,101.13
2020-09-17,101.04,101.2,100.51,101.0,164,4844.0,100.95
2020-09-18,101.29,101.44,100.98,101.21,156,8264.0,101.25
2020-09-21,101.1,101.31,100.55,100.86,199,3239.0,100.97
2020-09-22,100.83,101.2,100.5,100.96,158,1866.0,100.83
2020-09-23,100.8,101.35,100.75,100.92,192,5529.0,100.94
2020-09-24,100.9,101.11,100.76,101.11,137,4800.0,101.05
2020-09-25,101.04,101.5,100.82,101.36,130,7670.0,101.28
2020-09-28,100.78,101.32,100.77,101.14,171,3103.0,101.06
2020-09-29,101.1,101.3,100.91,101.08,131,3550.0,101.08
2020-09-30,100.91,101.48,100.91,101.15,122,14585.0,101.31
2020-10-01,101.4,101.48,101.15,101.16,119,1649.0,101.37
2020-10-02,101.14,101.45,101.0,101.38,183,3055.0,101.25
2020-10-05,101.11,101.43,101.01,101.4,168,11344.0,101.34
2020-10-06,101.39,101.42,101.21,101.34,164,28225.0,101.39
2020-10-07,101.41,101.41,101.11,101.23,154,2142.0,101.23
2020-10-08,101.2,101.29,101.15,101.21,151,3454.0,101.2
2020-10-09,101.38,101.38,101.15,101.2,168,6893.0,101.22
2020-10-12,101.19,101.38,101.0,101.29,580,6210.0,101.13
2020-10-13,101.02,101.42,101.0,101.0,259,9486.0,101.26
2020-10-14,101.4,101.41,100.97,101.4,136,11742.0,101.39
2020-10-15,101.31,101.4,101.07,101.08,122,2118.0,101.33
2020-10-16,101.11,101.39,101.09,101.23,115,1955.0,101.25
2020-10-19,101.2,101.4,101.02,101.03,187,3969.0,101.19
2020-10-20,101.37,101.37,100.75,100.9,191,3403.0,100.91
2020-10-21,100.9,101.32,100.75,101.29,166,6006.0,101.04
2020-10-22,101.37,101.37,100.87,101.0,216,3216.0,101.01
2020-10-23,101.28,101.28,100.85,100.9,206,11117.0,100.96
2020-10-26,101.2,101.35,100.8,101.11,209,7048.0,101.2
2020-10-27,101.25,101.3,100.81,100.9,214,4179.0,101.03
2020-10-28,101.28,101.28,100.85,100.96,244,5291.0,101.02
2020-10-29,101.19,101.19,100.84,100.99,170,2179.0,100.93
2020-10-30,101.12,101.19,100.82,101.12,200,1888.0,101.04
2020-11-02,101.2,101.2,100.31,100.87,213,7094.0,100.89
