DATE,OPEN,HIGH,LOW,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2020-05-25,101.0,101.0,100.2,100.35,85,4270.0,100.42
2020-05-26,100.36,100.4,100.1,100.3,98,4319.0,100.2
2020-05-27,100.11,100.35,100.11,100.2,134,15919.0,100.2
2020-05-28,100.2,100.3,100.0,100.1,165,67898.0,100.04
2020-05-29,100.25,100.25,99.98,99.99,185,20508.0,100.01
2020-06-01,100.3,100.4,99.95,100.0,156,21646.0,99.96
2020-06-02,100.0,100.06,99.82,99.86,183,48475.0,100.01
2020-06-03,99.91,100.09,99.9,100.0,176,4224.0,100.0
2020-06-04,100.49,100.49,99.85,100.0,104,2342.0,100.02
2020-06-05,100.4,100.4,99.92,100.01,181,36847.0,99.95
2020-06-08,100.25,100.25,99.95,100.0,179,5853.0,100.0
2020-06-09,100.35,100.4,99.92,100.05,139,11871.0,100.03
2020-06-10,100.05,100.2,99.98,100.04,194,20869.0,100.05
2020-06-11,100.38,100.38,100.0,100.05,151,6871.0,100.04
2020-06-15,100.05,100.36,100.01,100.04,133,5185.0,100.05
2020-06-16,100.31,100.31,100.0,100.1,213,17571.0,100.13
2020-06-17,100.1,100.29,99.99,100.09,139,24200.0,100.1
2020-06-18,100.36,100.36,100.02,100.27,149,49687.0,100.26
2020-06-19,100.44,100.44,100.0,100.3,216,40404.0,100.22
2020-06-22,100.0,100.97,99.93,100.2,286,11225.0,100.25
2020-06-23,100.44,100.44,100.04,100.12,172,23366.0,100.09
2020-06-25,99.81,100.96,99.68,100.1,164,9106.0,100.19
2020-06-26,100.94,100.94,100.12,100.14,127,8634.0,100.16
2020-06-29,100.76,100.76,100.01,100.05,174,20314.0,100.15
2020-06-30,100.2,100.25,100.0,100.05,199,29912.0,100.14
2020-07-02,100.5,100.6,99.95,100.0,281,16546.0,100.08
2020-07-03,100.7,100.7,99.98,100.0,232,29192.0,100.05
2020-07-06,100.28,100.28,99.99,100.0,173,10113.0,100.0
2020-07-07,99.85,100.19,95.0,100.0,215,18092.0,99.93
2020-07-08,100.04,100.04,99.98,100.0,229,26160.0,100.0
2020-07-09,100.07,100.07,99.99,100.06,136,11847.0,100.0
2020-07-10,100.05,100.05,99.9,100.0,197,25698.0,100.0
2020-07-13,99.86,100.24,99.86,100.0,225,8070.0,99.98
2020-07-14,100.1,100.1,99.81,99.99,194,12382.0,99.97
2020-07-15,100.08,100.08,99.83,100.0,193,23269.0,99.94
2020-07-16,99.99,100.0,99.9,99.99,127,27417.0,99.95
2020-07-17,100.06,100.06,99.86,100.0,138,25820.0,100.0
2020-07-20,100.0,100.05,99.9,99.98,233,34328.0,99.99
2020-07-21,100.0,100.01,99.9,100.0,196,18584.0,99.96
2020-07-22,100.06,100.06,99.9,100.03,196,37933.0,100.0
2020-07-23,100.06,100.06,99.82,100.0,586,77631.0,100.0
2020-07-24,100.1,100.14,99.9,100.0,340,38351.0,99.99
2020-07-27,100.0,100.0,99.98,100.0,209,12173.0,100.0
2020-07-28,100.0,100.06,99.98,100.02,224,47437.0,99.96
2020-07-29,99.98,100.0,99.8,100.0,403,12699.0,99.86
2020-07-30,100.0,100.0,99.82,100.0,312,11261.0,100.0
2020-07-31,100.0,100.09,99.9,100.06,336,35929.0,100.01
2020-08-03,100.09,100.25,99.98,100.0,369,48251.0,100.02
2020-08-04,100.01,100.01,99.98,99.99,394,28708.0,100.0
2020-08-05,100.0,100.05,99.95,100.0,289,46015.0,100.0
2020-08-06,100.24,100.24,99.99,100.0,315,28197.0,99.99
2020-08-07,100.24,100.24,99.95,99.99,453,46515.0,100.0
2020-08-10,100.07,100.07,99.97,99.99,378,28130.0,100.0
2020-08-11,100.2,100.2,99.98,100.06,363,14622.0,100.0
2020-08-12,100.06,100.18,99.98,100.0,275,19233.0,100.01
2020-08-13,100.2,100.2,100.0,100.0,307,14077.0,100.06
2020-08-14,100.15,100.22,100.0,100.0,291,21784.0,100.05
2020-08-17,100.19,100.19,99.96,99.99,384,12580.0,99.99
2020-08-18,100.05,100.05,99.96,100.0,202,6788.0,99.99
2020-08-19,100.0,100.0,99.98,99.99,200,10013.0,100.0
2020-08-20,99.99,100.05,99.95,100.05,753,18303.0,100.0
2020-08-21,100.0,100.05,99.97,100.0,232,22825.0,100.0
2020-08-24,100.0,100.22,99.99,100.05,181,28370.0,100.02
2020-08-25,100.1,100.22,99.99,100.14,215,11548.0,100.01
2020-08-26,100.0,100.24,99.89,99.95,375,20381.0,100.0
2020-08-27,100.18,100.18,99.87,100.01,492,33387.0,99.92
2020-08-28,100.0,100.0,99.88,99.98,473,24964.0,99.92
2020-08-31,100.0,100.0,99.7,99.89,370,151689.0,99.77
2020-09-01,99.89,99.95,99.81,99.95,217,14888.0,99.95
2020-09-02,99.9,99.95,99.83,99.9,342,11354.0,99.92
2020-09-03,99.9,99.94,99.82,99.89,245,12210.0,99.9
2020-09-04,99.87,99.97,99.81,99.96,253,21433.0,99.93
2020-09-07,99.99,99.99,99.91,99.99,402,11479.0,99.97
2020-09-08,100.0,100.12,99.9,99.98,253,16733.0,100.0
