DATE,OPEN,HIGH,LOW,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2018-09-17,1017.6,1020.2,1011.8,1020.0,47,548.0,1016.8
2018-09-18,1020.0,1040.4,1020.0,1031.0,122,2648.0,1028.4
2018-09-19,1039.0,1041.0,1030.8,1041.0,59,516.0,1037.0
2018-09-20,1033.2,1064.8,1033.2,1033.8,59,523.0,1038.4
2018-09-21,1034.0,1059.4,1032.6,1059.4,34,758.0,1036.2
2018-09-24,1080.4,1080.4,1039.2,1041.4,49,556.0,1044.4
2018-09-25,1049.8,1050.8,1040.0,1050.8,32,422.0,1044.8
2018-09-26,1045.4,1053.2,1042.2,1045.0,56,329.0,1045.6
2018-09-27,1043.0,1061.4,1043.0,1061.4,45,366.0,1051.2
2018-09-28,1082.8,1082.8,1056.6,1061.6,56,700.0,1063.8
2018-10-01,1075.4,1076.2,1060.4,1060.4,65,487.0,1067.6
2018-10-02,1081.6,1081.6,1055.0,1057.0,190,2276.0,1061.4
2018-10-03,1069.8,1146.0,1057.8,1076.2,211,1478.0,1072.4
2018-10-04,1054.8,1076.0,1050.4,1063.0,203,1753.0,1064.8
2018-10-05,1063.0,1066.2,1050.2,1066.2,146,1284.0,1060.2
2018-10-08,1079.8,1079.8,1054.2,1064.2,136,1879.0,1059.6
2018-10-09,1065.2,1073.0,1059.2,1060.0,136,943.0,1066.0
2018-10-10,1069.8,1069.8,1037.4,1046.2,163,1584.0,1053.2
2018-10-11,1060.0,1060.0,1015.0,1020.8,170,1466.0,1021.4
2018-10-12,1037.2,1045.6,1029.6,1045.6,130,1493.0,1039.2
2018-10-15,1066.4,1066.6,1029.2,1040.0,143,1892.0,1039.6
2018-10-16,1049.0,1050.8,1031.2,1050.8,123,2594.0,1045.4
2018-10-17,1059.8,1065.0,1040.6,1049.2,108,827.0,1051.0
2018-10-18,1046.0,1047.8,1033.2,1033.8,94,1503.0,1039.0
2018-10-19,1049.8,1049.8,1018.4,1019.8,204,802.0,1026.0
2018-10-22,1040.0,1040.0,1002.6,1003.2,216,1574.0,1017.4
2018-10-23,990.2,1007.2,989.2,1000.0,206,1053.0,998.4
2018-10-24,1009.4,1020.2,1000.0,1018.0,118,575.0,1014.0
2018-10-25,1017.8,1017.8,1002.2,1005.2,117,641.0,1011.8
2018-10-26,1019.6,1019.6,986.0,994.8,191,1201.0,994.8
2018-10-29,999.8,1007.8,987.8,1004.8,96,796.0,1002.2
2018-10-30,1000.4,1040.0,991.2,996.6,195,764.0,1002.0
2018-10-31,998.2,1020.2,998.2,1020.2,244,5022.0,1015.0
2018-11-01,1010.4,1027.6,1008.6,1025.4,175,6604.0,1018.4
2018-11-02,1029.8,1035.0,1021.2,1027.6,97,2365.0,1033.4
2018-11-06,1027.8,1090.2,1027.8,1040.0,224,1098.0,1050.4
2018-11-07,1060.0,1060.0,1031.6,1053.0,105,664.0,1047.6
2018-11-08,1074.0,1074.0,1051.2,1057.4,159,1768.0,1057.8
2018-11-09,1069.6,1069.6,1034.6,1039.8,142,1001.0,1042.4
2018-11-12,1040.0,1069.6,1040.0,1041.0,166,1297.0,1048.4
2018-11-13,1030.4,1049.8,1030.4,1033.8,133,1384.0,1037.0
2018-11-14,1020.2,1032.0,1012.0,1032.0,149,2562.0,1026.8
2018-11-15,1021.4,1040.4,1021.2,1034.6,123,835.0,1036.6
2018-11-16,1030.2,1049.8,1018.2,1029.8,123,4203.0,1031.0
2018-11-19,1050.2,1050.2,1025.0,1025.0,120,1126.0,1034.2
2018-11-20,1017.0,1037.2,1008.2,1015.8,147,6629.0,1022.8
2018-11-21,1029.2,1029.2,1007.2,1017.2,106,421.0,1018.8
2018-11-22,1029.6,1029.8,1015.6,1028.0,135,5727.0,1028.4
2018-11-23,1028.0,1028.0,1010.2,1016.8,126,11263.0,1015.4
2018-11-26,1019.8,1040.0,992.0,1001.6,239,8760.0,1004.2
2018-11-27,1003.0,1016.4,999.4,1007.6,162,1514.0,1003.8
2018-11-28,1019.6,1035.2,1000.4,1033.4,207,1326.0,1023.4
2018-11-29,1020.4,1046.8,1020.4,1036.4,206,12076.0,1045.0
2018-11-30,1036.6,1043.2,1025.4,1034.6,163,10540.0,1034.2
2018-12-03,1055.2,1078.8,1049.0,1050.8,208,10220.0,1060.2
2018-12-04,1069.6,1069.6,1050.4,1057.4,140,582.0,1057.2
2018-12-05,1069.6,1069.6,1041.2,1060.0,139,5694.0,1055.0
2018-12-06,1068.0,1068.0,1040.0,1047.0,157,7328.0,1044.4
2018-12-07,1049.6,1059.2,1041.0,1051.2,107,2330.0,1052.8
2018-12-10,1059.6,1059.6,1036.4,1040.0,108,17798.0,1046.4
2018-12-11,1039.0,1046.2,1032.2,1039.4,125,1779.0,1038.6
2018-12-12,1059.2,1059.2,1028.0,1031.8,122,8609.0,1034.0
2018-12-13,1025.0,1039.4,1025.0,1030.0,135,9066.0,1033.2
2018-12-14,1029.6,1030.6,1020.2,1026.4,142,7263.0,1026.8
2018-12-17,1046.8,1046.8,1022.6,1024.2,221,21483.0,1031.2
2018-12-18,1039.6,1039.6,1010.0,1020.2,198,1678.0,1015.4
2018-12-19,1039.8,1039.8,980.0,1024.4,147,876.0,1018.2
2018-12-20,1004.0,1024.6,1003.6,1019.4,138,797.0,1018.0
2018-12-21,1003.8,1025.4,1003.8,1019.6,152,25568.0,1019.8
2018-12-24,1029.6,1029.6,1008.4,1012.2,170,12104.0,1012.6
